Station name,Armley,,,,
Station number,F1707,,,,
External number,---,,,,
River,River Aire,,,,
Operator,---,,,,
NGR,SE2805734020,,,,
Easting,428057,,,,
Northing,434020,,,,
Parameter-name,FQ [Flow],,,,
Parameter Type,Flow,,,,
Time series name,YOR/F1707/FQ/15m.Cmd.Runoff.C,,,,
Time series unit,m³/s,,,,
Time level,High-resolution,,,,
Time series type,Other,,,,
Equidistant time series,yes,,,,
Time series value distance,15 minute,,,,
Time series quality,Production,,,,
Time series measuring method,---,,,,
Period of record in file: 01/05/2015 00:00:00 to 30/03/2016 23:45:00,,,,,
Quality code description, G = good; E = estimated; S = suspect; U = unchecked; M = missing; C = complete; I = incomplete; Ed = edited; WR = within rating; NR = no rating; EX> = extrapolated upper part; EX< = extrapolated lower part; BL> = beyond upper limit; BL< = beyond lower limit; MH = weir modular (head); NH = weir non modular (head); EH = weir extremely non modular (head); MT = weir modular (tail); NT = weir non modular (tail); ET = weir extremely non modular (tail); MC = weir modular (crest); NC = weir non modular (crest); EC = weir extremely non modular (crest); -H = weir head only; RAS = rastered time stamp; A = apportioned/interpolated; D = dry; SN = snow; T = trace,,,,
Time stamp,Value[m³/s],State of value,Interpolation,Tags,Comments
01/05/15 00:00,7.15,G;WR,102,,
01/05/15 00:15,7.27,G;WR,102,,
01/05/15 00:30,7.33,G;WR,102,,
01/05/15 00:45,7.3,G;WR,102,,
01/05/15 01:00,7.36,G;WR,102,,
01/05/15 01:15,7.33,G;WR,102,,
01/05/15 01:30,7.39,G;WR,102,,
01/05/15 01:45,7.39,G;WR,102,,
01/05/15 02:00,7.42,G;WR,102,,
01/05/15 02:15,7.42,G;WR,102,,
01/05/15 02:30,7.39,G;WR,102,,
01/05/15 02:45,7.39,G;WR,102,,
01/05/15 03:00,7.3,G;WR,102,,
01/05/15 03:15,7.27,G;WR,102,,
01/05/15 03:30,7.21,G;WR,102,,
01/05/15 03:45,7.15,G;WR,102,,
01/05/15 04:00,7.15,G;WR,102,,
01/05/15 04:15,7.07,G;WR,102,,
01/05/15 04:30,7.07,G;WR,102,,
01/05/15 04:45,6.98,G;WR,102,,
01/05/15 05:00,6.83,G;WR,102,,
01/05/15 05:15,6.8,G;WR,102,,
01/05/15 05:30,6.71,G;WR,102,,
01/05/15 05:45,6.71,G;WR,102,,
01/05/15 06:00,6.71,G;WR,102,,
01/05/15 06:15,6.63,G;WR,102,,
01/05/15 06:30,6.57,G;WR,102,,
01/05/15 06:45,6.54,G;WR,102,,
01/05/15 07:00,6.51,G;WR,102,,
01/05/15 07:15,6.42,G;WR,102,,
01/05/15 07:30,6.36,G;WR,102,,
01/05/15 07:45,6.36,G;WR,102,,
01/05/15 08:00,6.28,G;WR,102,,
01/05/15 08:15,6.31,G;WR,102,,
01/05/15 08:30,6.19,G;WR,102,,
01/05/15 08:45,6.25,G;WR,102,,
01/05/15 09:00,6.19,G;WR,102,,
01/05/15 09:15,6.16,G;WR,102,,
01/05/15 09:30,6.13,G;WR,102,,
01/05/15 09:45,6.13,G;WR,102,,
01/05/15 10:00,6.16,G;WR,102,,
01/05/15 10:15,6.1,G;WR,102,,
01/05/15 10:30,6.13,G;WR,102,,
01/05/15 10:45,6.16,G;WR,102,,
01/05/15 11:00,6.25,G;WR,102,,
01/05/15 11:15,6.31,G;WR,102,,
01/05/15 11:30,6.45,G;WR,102,,
01/05/15 11:45,6.45,G;WR,102,,
01/05/15 12:00,6.63,G;WR,102,,
01/05/15 12:15,6.69,G;WR,102,,
